nfeatures,n_octave_layers,ratio_threshold,min_match_count,min_inliers,min_bbox_area,accuracy,tpr,fpr,tp,fp,fn,runtime
1000,3,0.7,35,6,100,0.6595744680851063,0.7209302325581395,0.11428571428571428,62,8,24,7.678250919998391
1000,3,0.6,20,20,100,0.65625,0.7325581395348837,0.136986301369863,63,10,23,6.642972592002479
2000,3,0.6,10,20,25,0.65625,0.7325581395348837,0.136986301369863,63,10,23,7.352263977001712
2000,3,0.6,20,20,25,0.65625,0.7325581395348837,0.136986301369863,63,10,23,7.248209992001648
2000,3,0.7,10,20,25,0.6526315789473685,0.7209302325581395,0.1267605633802817,62,9,24,9.723154940998938
4000,3,0.6,20,20,25,0.6526315789473685,0.7209302325581395,0.1267605633802817,62,9,24,6.630774609999207
4000,3,0.7,35,20,25,0.6526315789473685,0.7209302325581395,0.1267605633802817,62,9,24,7.279929755000921
1000,3,0.6,10,20,25,0.6494845360824743,0.7325581395348837,0.14864864864864866,63,11,23,6.9170164430033765
2000,3,0.6,20,20,100,0.6458333333333334,0.7209302325581395,0.1388888888888889,62,10,24,6.785479258003761
4000,3,0.6,10,10,100,0.6458333333333334,0.7209302325581395,0.1388888888888889,62,10,24,6.681859870994231
4000,3,0.6,10,20,25,0.6458333333333334,0.7209302325581395,0.1388888888888889,62,10,24,6.729865713001345
4000,3,0.6,10,20,100,0.6458333333333334,0.7209302325581395,0.1388888888888889,62,10,24,6.890446425997652
4000,3,0.6,20,6,25,0.6458333333333334,0.7209302325581395,0.1388888888888889,62,10,24,6.656804726997507
4000,3,0.6,35,6,25,0.6451612903225806,0.6976744186046512,0.1044776119402985,60,7,26,6.144288012998004
1000,3,0.6,10,6,100,0.6428571428571429,0.7325581395348837,0.16,63,12,23,6.897261341000558
2000,3,0.6,20,6,25,0.6428571428571429,0.7325581395348837,0.16,63,12,23,7.159388789004879
2000,3,0.6,20,6,100,0.6428571428571429,0.7325581395348837,0.16,63,12,23,7.061153470000136
1000,3,0.7,35,10,100,0.6421052631578947,0.7093023255813954,0.12857142857142856,61,9,25,8.301571119998698
2000,3,0.7,35,6,25,0.6421052631578947,0.7093023255813954,0.12857142857142856,61,9,25,7.821635763000813
4000,3,0.6,35,6,100,0.6421052631578947,0.7093023255813954,0.12857142857142856,61,9,25,6.1681698270040215
4000,3,0.6,35,20,100,0.6421052631578947,0.7093023255813954,0.12857142857142856,61,9,25,6.1394656780030346
4000,3,0.7,20,20,100,0.6421052631578947,0.7093023255813954,0.12857142857142856,61,9,25,8.120720204999088
1000,3,0.6,10,10,25,0.6391752577319587,0.7209302325581395,0.1506849315068493,62,11,24,6.7887698609993095
